ID,Group38325,175
38326,558
38327,1564
38328,2345
38329,2333
38330,2517
38331,2573
38332,2648
38333,2693
38334,2843
38335,3113
38336,205
38337,3207
38338,3835
38339,4215
38340,4323
38341,1620
38342,4591
38343,4716
38344,4833
38345,3836
38346,46
38347,4964
38348,4479
38349,5068
38350,5113
38351,1665
38352,5002
38353,2182
38354,5085
38355,4208
38356,4169
38357,6084
38358,6251
38359,6498
38360,6741
38361,6775
38362,7070
38363,4804
38364,4978
38365,7118
38366,3780
38367,5082
38368,7246
38369,6249
38370,7344
38371,5125
38372,7557
38373,7667
38374,7813
38375,7069
38376,7993
38377,2420
38378,4874
38379,8109
38380,8529
38381,5074
38382,8655
38383,8883
38384,9072
38385,9251
38386,9375
38387,3004
38388,9460
38389,2138
38390,9539
38391,9828
38392,7232
38393,10068
38394,10102
38395,10206
38396,526
38397,49
38398,7663
38399,10373
38400,10759
38401,11285
38402,4191
38403,11395
38404,8109
38405,11471
38406,11589
38407,10268
38408,4284
38409,11646
38410,11774
38411,11829
38412,8652
38413,11946
38414,12326
38415,12849
38416,6740
38417,12983
38418,13439
38419,2823
38420,13930
38421,13967
38422,4063
38423,14178
38424,11738
38425,5066
38426,14628
38427,14879
38428,15083
38429,10258
38430,8421
38431,15216
38432,15307
38433,15681
38434,15968
38435,4984
38436,16099
38437,16146
38438,14642
38439,5159
38440,16229
38441,2841
38442,5120
38443,8936
38444,8523
38445,16331
38446,16345
38447,2683
38448,9775
38449,6035
38450,16622
38451,4103
38452,7251
38453,199
38454,16838
38455,2540
38456,16948
38457,17082
38458,17145
38459,16379
38460,1534
38461,10734
38462,17256
38463,2334
38464,3090
38465,17433
38466,17735
38467,17003
38468,17079
38469,4879
38470,17804
38471,17979
38472,18031
38473,18015
38474,18051
38475,17993
38476,18048
38477,17999
38478,18034
38479,8040
38480,3031
38481,4509
38482,18132
38483,7389
38484,16347
38485,18864
38486,19009
38487,15226
38488,19211
38489,2150
38490,19300
38491,17147
38492,694
38493,9949
38494,7805
38495,19464
38496,19669
38497,17502
38498,2148
38499,18825
38500,18112
38501,5072
38502,16351
38503,17675
38504,19847
38505,19934
38506,2831
38507,20211
38508,10053
38509,6389
38510,20530
38511,3208
38512,20640
38513,10254
38514,12667
38515,8647
38516,11361
38517,8187
38518,19811
38519,5175
38520,12986
38521,1718
38522,12816
38523,2354
38524,20726
38525,20810
38526,1744
38527,19537
38528,17150
38529,17126
38530,21010
38531,21235
38532,21332
38533,21431
38534,21616
38535,21797
38536,11245
38537,21893
38538,22137
38539,22385
38540,22491
38541,22739
38542,18040
38543,2680
38544,165
38545,8863
38546,22910
38547,13925
38548,23091
38549,4543
38550,4562
38551,12597
38552,18044
38553,23284
38554,8506
38555,23412
38556,12405
38557,16349
38558,23101
38559,6661
38560,12670
38561,12619
38562,9880
38563,6474
38564,23221
38565,23473
38566,23726
38567,16156
38568,15649
38569,13999
38570,13947
38571,21811
38572,7679
38573,21814
38574,10622
38575,14909
38576,17050
38577,9100
38578,18849
38579,14941
38580,524
38581,6407
38582,23873
38583,24159
38584,24359
38585,15305
38586,2871
38587,8504
38588,12862
38589,19031
38590,24716
38591,9956
38592,13508
38593,18088
38594,21043
38595,2116
38596,25015
38597,20811
38598,25134
38599,25241
38600,22655
38601,23466
38602,18
38603,13111
38604,5159
38605,16653
38606,4200
38607,1517
38608,167
38609,25376
38610,25510
38611,25680
38612,25920
38613,8468
38614,19208
38615,21296
38616,10753
38617,10641
38618,10806
38619,3598
38620,26155
38621,19218
38622,17076
38623,26315
38624,3037
38625,4534
38626,15127
38627,24654
38628,6497
38629,7654
38630,4677
38631,4707
38632,19011
38633,4308
38634,21180
38635,22719
38636,5156
38637,26382
38638,11767
38639,24628
38640,18338
38641,4690
38642,18162
38643,22094
38644,21320
38645,12373
38646,4293
38647,2600
38648,23878
38649,14651
38650,2183
38651,13952
38652,26605
38653,22662
38654,26762
38655,26595
38656,27411
38657,12497
38658,26182
38659,17489
38660,27517
38661,27610
38662,2853
38663,21335
38664,17094
38665,27647
38666,26178
38667,27375
38668,14881
38669,3022
38670,11211
38671,27674
38672,24479
38673,25994
38674,6123
38675,6217
38676,7769
38677,27926
38678,21302
38679,13405
38680,16281
38681,28062
38682,16148
38683,16857
38684,28347
38685,16801
38686,5121
38687,24096
38688,28615
38689,16623
38690,16958
38691,156
38692,4587
38693,28697
38694,19042
38695,19193
38696,18335
38697,13125
38698,13554
38699,2692
38700,28832
38701,4824
38702,13565
38703,7995
38704,28341
38705,27786
38706,25119
38707,2838
38708,28942
38709,6393
38710,28568
38711,28607
38712,28580
38713,28539
38714,23296
38715,14036
38716,29052
38717,2224
38718,29043
38719,29143
38720,12563
38721,16988
38722,3718
38723,23286
38724,23307
38725,23276
38726,13967
38727,4340
38728,22687
38729,11594
38730,10250
38731,15733
38732,24664
38733,15198
38734,2364
38735,29060
38736,8919
38737,16364
38738,29393
38739,19861
38740,10071
38741,25979
38742,10784
38743,6028
38744,29479
38745,24491
38746,1720
38747,2335
38748,19466
38749,29550
38750,4304
38751,17302
38752,29553
38753,23636
38754,2201
38755,21451
38756,188
38757,29692
38758,29050
38759,26340
38760,10730
38761,13548
38762,19006
38763,10729
38764,14706
38765,30001
38766,19867
38767,13558
38768,27953
38769,12657
38770,13089
38771,12458
38772,23560
38773,11287
38774,24629
38775,28702
38776,27939
38777,28934
38778,25107
38779,26345
38780,27290
38781,30009
38782,26199
38783,26176
38784,24976
38785,8646
38786,6967
38787,30068
38788,27909
38789,13485
38790,11198
38791,30145
38792,5988
38793,9078
38794,20813
38795,16348
38796,2342
38797,11685
38798,15311
38799,2862
38800,19805
38801,15943
38802,15616
38803,29943
38804,29950
38805,23624
38806,30269
38807,4286
38808,30471
38809,30633
38810,30869
38811,24623
38812,4064
38813,28856
38814,6768
38815,2694
38816,29961
38817,29947
38818,29953
38819,742
38820,6704
38821,17244
38822,12328
38823,18148
38824,18397
38825,22921
